scenario,agent,n_inject,mean,std
1x1_high,colight,0,132.12501489980875,5.478589509520241
1x1_high,colight,2,133.85575151515567,4.597254771327068
1x1_high,colight,4,139.2864583174854,3.6225687582595207
1x1_high,colight,6,135.04699567758678,3.9532051247410402
1x1_high,colight,8,150.69159934888998,2.688187967900784
1x1_high,colight,10,168.20176384388392,5.803857946298354
1x1_high,colight,12,184.94282191359244,4.599257702658715
1x1_high,colight,14,207.2731209333384,3.0146269733420104
1x1_high,colight,16,230.3942808910257,0.7724406494159113
1x1_high,colight,18,256.9522360547773,1.7538345721007522
1x1_high,colight,20,290.139836719254,6.55886706537886
1x1_high,maxpressure,0,144.33952914622492,1.8342430652812087
1x1_high,maxpressure,2,150.42713480096583,4.5631535373332275
1x1_high,maxpressure,4,150.9534657846012,6.677271154232252
1x1_high,maxpressure,6,147.85445557706657,1.6963678571853713
1x1_high,maxpressure,8,152.76924796072865,5.2655912562868625
1x1_high,maxpressure,10,147.34966079710807,8.241365067748776
1x1_high,maxpressure,12,148.76297567146455,2.3527122535169953
1x1_high,maxpressure,14,154.26420660902565,7.865147121762455
1x1_high,maxpressure,16,163.47931155857367,4.888294821636457
1x1_high,maxpressure,18,169.92833647488234,5.0493049573003495
1x1_high,maxpressure,20,188.8362271931965,3.8998165159087814
1x1_high,maxqueue,0,149.9822804218065,4.222563419783697
1x1_high,maxqueue,2,151.23013664803105,5.000406530304099
1x1_high,maxqueue,4,154.16700684784783,3.316983634723824
1x1_high,maxqueue,6,147.55418767703554,5.283173946670889
1x1_high,maxqueue,8,150.67371471370612,5.317557871194711
1x1_high,maxqueue,10,148.74464094130443,1.734537607546226
1x1_high,maxqueue,12,153.25274646998778,4.463209637506456
1x1_high,maxqueue,14,154.33469819649386,8.642734655469686
1x1_high,maxqueue,16,162.53401636890806,3.0170474029775685
1x1_high,maxqueue,18,175.6109431948739,1.6525924328985129
1x1_high,maxqueue,20,183.83353148909706,6.96434809951177
1x1_high,mplight,0,137.8629866423857,0.6401465076325976
1x1_high,mplight,2,136.5290973031625,2.25836991276266
1x1_high,mplight,4,132.36509593320477,1.4965513061762359
1x1_high,mplight,6,136.5113325104548,0.6847076423924577
1x1_high,mplight,8,146.6767219759667,3.990355352873577
1x1_high,mplight,10,166.8218303075127,5.164022353059992
1x1_high,mplight,12,187.653447794889,1.422008357130172
1x1_high,mplight,14,206.30803960193543,2.9522155009083457
1x1_high,mplight,16,233.5126640933155,5.479377424173414
1x1_high,mplight,18,262.4707237156855,3.3032732903519673
1x1_high,mplight,20,290.67777193718456,1.807114982649045
1x1_low,colight,0,82.0763739218168,2.9790538110841367
1x1_low,colight,2,80.60457393939687,4.885256607847056
1x1_low,colight,4,81.99271717119491,3.512088004349084
1x1_low,colight,6,80.30619814518651,2.092513525004004
1x1_low,colight,8,96.78297239909409,6.373071010796645
1x1_low,colight,10,111.18231623653845,5.449256673662452
1x1_low,colight,12,135.21012059063526,4.380805837866411
1x1_low,colight,14,157.90077500654,2.1075026518136637
1x1_low,colight,16,183.59005938378297,2.5789238251749205
1x1_low,colight,18,205.58635213514194,0.5929265320095858
1x1_low,colight,20,235.9868576852566,4.4808708868355716
1x1_low,maxpressure,0,92.15097065750506,0.48793831869574295
1x1_low,maxpressure,2,85.57412823844147,2.413321793519275
1x1_low,maxpressure,4,91.50901563731094,3.578951314561515
1x1_low,maxpressure,6,89.4904023417701,2.777758192617899
1x1_low,maxpressure,8,90.90939116698951,4.613302667157755
1x1_low,maxpressure,10,89.99754765545346,2.7296353665212547
1x1_low,maxpressure,12,90.85591274747564,5.648267089508304
1x1_low,maxpressure,14,96.65405647268517,2.880167980770584
1x1_low,maxpressure,16,106.61321907957715,5.071866895119511
1x1_low,maxpressure,18,113.85895792646728,5.448395998518578
1x1_low,maxpressure,20,120.12568787412624,0.8530078804260252
1x1_low,maxqueue,0,89.83644607770403,3.3295607139688275
1x1_low,maxqueue,2,90.42607431134884,4.383968989328485
1x1_low,maxqueue,4,87.62482471029108,2.6697998693710705
1x1_low,maxqueue,6,93.78928897163847,4.804671540076668
1x1_low,maxqueue,8,89.05451703178437,2.723177365826758
1x1_low,maxqueue,10,86.25014363204525,2.508785898942302
1x1_low,maxqueue,12,93.09452939323266,4.050237196227183
1x1_low,maxqueue,14,93.77239657578376,3.2748007482194468
1x1_low,maxqueue,16,105.6637338408106,5.112149904775086
1x1_low,maxqueue,18,110.13134387309492,1.6695180263378828
1x1_low,maxqueue,20,126.80187501250907,0.6710223231300179
1x1_low,mplight,0,83.94126509515053,1.1554238787265687
1x1_low,mplight,2,84.54695492609433,3.1826033037714843
1x1_low,mplight,4,80.08576936799402,2.0620084025666037
1x1_low,mplight,6,83.64765055587141,1.1180161328442018
1x1_low,mplight,8,93.8891377427011,4.23537616359054
1x1_low,mplight,10,112.77338376756241,2.6835027452036218
1x1_low,mplight,12,133.4683446997444,5.525099903603776
1x1_low,mplight,14,155.20727892142742,7.910018548807513
1x1_low,mplight,16,186.2983277160195,3.389340402366455
1x1_low,mplight,18,211.3782162644728,6.4587030899606335
1x1_low,mplight,20,231.2262327957641,3.772755757596426
1x1_normal,colight,0,99.31507834712528,2.942381147653218
1x1_normal,colight,2,96.31810341280625,4.01967007294665
1x1_normal,colight,4,97.44438636345608,6.458126651296511
1x1_normal,colight,6,99.19497727410523,1.0311076049302395
1x1_normal,colight,8,110.16625523725968,2.9853789669893986
1x1_normal,colight,10,126.96832337025228,4.582995506855909
1x1_normal,colight,12,154.77132849453997,1.1844643933653258
1x1_normal,colight,14,177.21480024119555,3.3489315360290375
1x1_normal,colight,16,198.22592950925832,3.285846112604169
1x1_normal,colight,18,227.92776810808405,4.256724018776432
1x1_normal,colight,20,254.00239142755228,1.8865539356311096
1x1_normal,maxpressure,0,107.5339206628123,4.585144969728654
1x1_normal,maxpressure,2,110.6896752671412,4.648030284308659
1x1_normal,maxpressure,4,109.37559953274194,5.171084609840478
1x1_normal,maxpressure,6,110.68746288246159,6.862727046035521
1x1_normal,maxpressure,8,109.79083029625833,6.104545883848254
1x1_normal,maxpressure,10,110.04809871327016,1.5039086128410388
1x1_normal,maxpressure,12,110.58697154784848,2.194821836832582
1x1_normal,maxpressure,14,115.139498046644,3.37303290058917
1x1_normal,maxpressure,16,124.16609218054634,0.6808681471403595
1x1_normal,maxpressure,18,133.2981016852493,2.151329272429332
1x1_normal,maxpressure,20,142.9741997837306,2.901740369288002
1x1_normal,maxqueue,0,109.04562465007018,1.8351996182293997
1x1_normal,maxqueue,2,108.84069123397079,1.2152717281059684
1x1_normal,maxqueue,4,112.70061240917171,2.9169345710234746
1x1_normal,maxqueue,6,107.4450493446469,1.9579704086596976
1x1_normal,maxqueue,8,110.60981180030562,4.1889712820258564
1x1_normal,maxqueue,10,111.2741999988841,7.137087405693594
1x1_normal,maxqueue,12,105.43930250832965,1.7296807079914869
1x1_normal,maxqueue,14,116.00586642966361,4.248196444383728
1x1_normal,maxqueue,16,123.65111913282503,1.725390688775615
1x1_normal,maxqueue,18,137.70573039147817,1.3954428419018239
1x1_normal,maxqueue,20,145.20672977152276,2.247029334971936
1x1_normal,mplight,0,93.68331585294241,5.372410280323851
1x1_normal,mplight,2,102.2995442173332,7.338627276099739
1x1_normal,mplight,4,95.55038488523486,6.636195385887853
1x1_normal,mplight,6,101.49645439350138,0.541155920261915
1x1_normal,mplight,8,114.40864724685802,4.54050836313058
1x1_normal,mplight,10,130.52314327579808,3.9125097157198208
1x1_normal,mplight,12,148.29532212173606,2.4003187945463003
1x1_normal,mplight,14,175.20562993100148,2.9090808014261276
1x1_normal,mplight,16,202.7162640789505,3.8803864421995544
1x1_normal,mplight,18,227.65282438960585,3.4138782883028913
1x1_normal,mplight,20,254.7342142146064,3.036747340555786
2x2_normal,colight,0,97.12889045829387,2.748046122153126
2x2_normal,colight,2,101.39763845792578,4.414872949761093
2x2_normal,colight,4,93.72120823031186,3.4671835464937684
2x2_normal,colight,6,98.94693317251513,1.1262519900690318
2x2_normal,colight,8,110.45174649977146,2.187049756572688
2x2_normal,colight,10,133.18390384646034,5.4641881226863775
2x2_normal,colight,12,147.37560068711593,0.7478407387589155
2x2_normal,colight,14,172.8289586637114,3.465063698550979
2x2_normal,colight,16,197.02129750881002,2.074222899575484
2x2_normal,colight,18,227.10657198523572,6.607497461990488
2x2_normal,colight,20,255.5189675913206,5.359285198388191
2x2_normal,maxpressure,0,104.70626189200448,4.184658115556656
2x2_normal,maxpressure,2,109.76194187149275,1.8380738364698697
2x2_normal,maxpressure,4,114.73725710657885,3.7018707008959963
2x2_normal,maxpressure,6,108.90297401351245,8.234177927612132
2x2_normal,maxpressure,8,109.58669258367674,3.4728560913503386
2x2_normal,maxpressure,10,104.00778098348326,3.8177836970543737
2x2_normal,maxpressure,12,108.02325397288791,1.0949053998655502
2x2_normal,maxpressure,14,113.25509454490197,1.7714335863898254
2x2_normal,maxpressure,16,121.93228608467439,0.4514139179151496
2x2_normal,maxpressure,18,131.03014926630487,0.7516510783295256
2x2_normal,maxpressure,20,142.9623083952488,1.2773081823837964
2x2_normal,maxqueue,0,108.70696476988974,5.774100019493031
2x2_normal,maxqueue,2,107.16606553496187,5.064165871879708
2x2_normal,maxqueue,4,112.9570542300869,4.735802441568584
2x2_normal,maxqueue,6,110.45936706340869,3.995358846180352
2x2_normal,maxqueue,8,110.40275616861506,3.8255504415178554
2x2_normal,maxqueue,10,111.90085236665793,3.2451634766733464
2x2_normal,maxqueue,12,109.97676303738972,0.28230270278695113
2x2_normal,maxqueue,14,115.91757869961027,4.161174531895873
2x2_normal,maxqueue,16,119.07746287964045,0.985331039087682
2x2_normal,maxqueue,18,132.40730364512328,2.2522570207686714
2x2_normal,maxqueue,20,143.38637730618458,1.7187021205174717
2x2_normal,mplight,0,96.73655496265455,2.9396827125847143
2x2_normal,mplight,2,99.73006814956621,6.344631148947458
2x2_normal,mplight,4,97.50907434768847,4.969619468941799
2x2_normal,mplight,6,98.16689566373636,2.6289037870000738
2x2_normal,mplight,8,110.00347060368308,4.190676877488024
2x2_normal,mplight,10,132.37616910462745,0.9819264405472463
2x2_normal,mplight,12,149.53482063211584,3.786486890062931
2x2_normal,mplight,14,174.5507581370521,4.7962219761516005
2x2_normal,mplight,16,197.41076540554528,1.6445948178279681
2x2_normal,mplight,18,227.1717527355496,0.8322001232667674
2x2_normal,mplight,20,253.91239160357927,2.1138677681458202
