agent,task,TT,TT_std,n
colight,attack,407.9018636417466,465.4031791854059,3
colight,clean,620.2561754113852,516.1420079856583,4
efficient_mplight,attack,273.0444980694021,154.16366018968387,4
efficient_mplight,clean,150.88369413828613,88.8114885983242,3
mplight,attack,145.97329435159835,15.993320419582231,3
mplight,clean,274.5575761269812,0.6235936353702014,2
