agent,t,queue_clean,queue_attacked
maxqueue,0,24.41225381590286,25.888813623938564
maxqueue,1,27.658863527524204,26.304788497202257
maxqueue,2,22.750815703396114,25.379922480971487
maxqueue,3,24.450845951697612,29.090464212820486
maxqueue,4,22.977264257169402,26.740286982883468
maxqueue,5,27.45968487225093,25.386245185483197
maxqueue,6,25.239248090992465,26.885202994660208
maxqueue,7,26.648043360055333,23.418121608608736
maxqueue,8,23.08915182879844,26.154974159559135
maxqueue,9,27.66444288883935,28.32311072335247
maxqueue,10,26.21386352251872,22.69289901124541
maxqueue,11,26.98227171067166,28.537710309904366
maxqueue,12,25.600206022569584,27.028333661657367
maxqueue,13,28.04897774985364,23.409080634525107
maxqueue,14,27.693704442653836,24.91884493733514
maxqueue,15,26.257494497961105,27.101233320100135
maxqueue,16,27.37175654667802,29.597495876133213
maxqueue,17,26.585533596741286,28.21505550388732
maxqueue,18,23.623910008076436,25.4309068509698
maxqueue,19,28.008353442831602,25.95199427645111
maxqueue,20,27.149516295145624,28.503486756930233
maxqueue,21,25.15991628741672,27.656296522379368
maxqueue,22,27.09465565365905,25.17438569599939
maxqueue,23,28.632047304803724,27.82982603410373
maxqueue,24,27.537294126492874,25.6717624461182
maxqueue,25,26.622618070604226,27.13175179668462
maxqueue,26,25.50071417761572,29.21015665819325
maxqueue,27,26.919009235816823,27.48598963549869
maxqueue,28,26.7751698695516,26.29087866416701
maxqueue,29,26.98803296310823,29.189661575510993
maxqueue,30,25.256212406719623,27.37621667919032
maxqueue,31,25.64316251304356,28.201611700984166
maxqueue,32,29.46649538904579,27.438373010335287
maxqueue,33,26.331442817302488,27.82228668053392
maxqueue,34,26.991960928827552,28.281974112128385
maxqueue,35,27.431379635306072,24.471119344222704
maxqueue,36,28.65891559404567,27.316101345842924
maxqueue,37,27.453658951140373,29.815646447060594
maxqueue,38,28.903387952278774,27.244708948952606
maxqueue,39,29.243689402914278,26.253288675141004
maxqueue,40,26.110960042430037,27.325928827558403
maxqueue,41,25.931848244131555,26.69821449616934
maxqueue,42,27.99263994017107,30.241677255888963
maxqueue,43,27.650922319505185,28.836476159140616
maxqueue,44,26.456963149471722,28.33388771477608
maxqueue,45,26.64682393988496,24.832726659124372
maxqueue,46,30.365644889439743,27.83830290241632
maxqueue,47,27.494054518255012,30.47967061021781
maxqueue,48,27.264250883372224,28.81794912102941
maxqueue,49,28.547819024462665,29.61452645703115
maxqueue,50,25.810572755747103,28.537802340859695
