task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 408.3211, mean rewards: 1342.4353, queue: 5.1465, delay: 0.1857, throughput: 2678
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 170.6889, mean rewards: 70.1752, queue: 69.8083, delay: 0.7735, throughput: 2099
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 289.0358, mean rewards: 108.1961, queue: 107.6889, delay: 0.7569, throughput: 1647
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 170.6889, mean rewards: 70.1752, queue: 69.8083, delay: 0.7735, throughput: 2099
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 224.3891, mean rewards: 91.6530, queue: 91.2194, delay: 0.7920, throughput: 2028
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 289.0358, mean rewards: 108.1961, queue: 107.6889, delay: 0.7569, throughput: 1647
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 393.8179, mean rewards: 124.9234, queue: 124.3278, delay: 0.7656, throughput: 1433
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 179.6096, mean rewards: 111.3547, queue: 111.2083, delay: 0.7091, throughput: 1273
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 167.8457, mean rewards: 107.2881, queue: 107.1667, delay: 0.6920, throughput: 1277
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 199.6700, mean rewards: 137.3814, queue: 137.5750, delay: 0.7446, throughput: 791
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 200.2779, mean rewards: 137.5906, queue: 137.7805, delay: 0.7450, throughput: 788
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 201.2724, mean rewards: 113.2115, queue: 113.1444, delay: 0.7073, throughput: 1105
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 189.2149, mean rewards: 73.9528, queue: 73.5194, delay: 0.7940, throughput: 2015
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 192.4906, mean rewards: 75.6497, queue: 75.1306, delay: 0.7904, throughput: 2028
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 166.6368, mean rewards: 67.5492, queue: 67.1278, delay: 0.7766, throughput: 2073
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 192.1448, mean rewards: 75.3403, queue: 74.9139, delay: 0.7805, throughput: 2003
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 225.5093, mean rewards: 98.6684, queue: 98.1861, delay: 0.8206, throughput: 1997
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 211.2307, mean rewards: 92.0311, queue: 91.5722, delay: 0.8176, throughput: 1981
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 182.9575, mean rewards: 76.5372, queue: 76.2000, delay: 0.7812, throughput: 2069
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 226.1277, mean rewards: 102.7723, queue: 102.3556, delay: 0.8108, throughput: 2012
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 243.8278, mean rewards: 100.5125, queue: 100.0417, delay: 0.8079, throughput: 1928
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 217.0885, mean rewards: 90.1186, queue: 89.7583, delay: 0.7899, throughput: 1977
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 222.1171, mean rewards: 88.0417, queue: 87.5750, delay: 0.8062, throughput: 1973
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 272.2804, mean rewards: 116.6311, queue: 116.2417, delay: 0.7952, throughput: 1897
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 314.0865, mean rewards: 112.7542, queue: 112.1889, delay: 0.7632, throughput: 1595
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 294.9596, mean rewards: 104.0853, queue: 103.6333, delay: 0.7670, throughput: 1659
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 263.8953, mean rewards: 105.4003, queue: 104.9833, delay: 0.7753, throughput: 1910
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 406.9117, mean rewards: 130.6217, queue: 130.1306, delay: 0.7749, throughput: 1370
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 293.4695, mean rewards: 100.9478, queue: 100.4194, delay: 0.7438, throughput: 1721
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 308.6135, mean rewards: 113.7359, queue: 113.4472, delay: 0.7321, throughput: 1418
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 354.3922, mean rewards: 128.0983, queue: 127.6028, delay: 0.7860, throughput: 1609
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 244.9648, mean rewards: 138.9967, queue: 139.2000, delay: 0.7440, throughput: 596
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 200.2449, mean rewards: 137.5914, queue: 137.7805, delay: 0.7451, throughput: 788
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 158.5370, mean rewards: 102.6967, queue: 102.6000, delay: 0.6891, throughput: 1285
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 360.7396, mean rewards: 104.8783, queue: 104.5056, delay: 0.7049, throughput: 1375
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 267.8716, mean rewards: 124.9850, queue: 125.0944, delay: 0.7430, throughput: 966
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 200.2779, mean rewards: 137.5906, queue: 137.7805, delay: 0.7450, throughput: 788
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 167.6950, mean rewards: 107.2100, queue: 107.0917, delay: 0.6989, throughput: 1282
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 258.7086, mean rewards: 106.5214, queue: 106.4556, delay: 0.7286, throughput: 1191
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 278.5036, mean rewards: 133.6331, queue: 133.7917, delay: 0.7436, throughput: 699
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 200.2779, mean rewards: 137.5906, queue: 137.7805, delay: 0.7450, throughput: 788
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 196.6953, mean rewards: 112.8034, queue: 112.6778, delay: 0.7034, throughput: 1201
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 224.6992, mean rewards: 117.8975, queue: 117.7361, delay: 0.7227, throughput: 1280
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 244.9648, mean rewards: 138.9967, queue: 139.2000, delay: 0.7440, throughput: 596
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 200.2779, mean rewards: 137.5906, queue: 137.7805, delay: 0.7450, throughput: 788
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 199.5464, mean rewards: 136.6425, queue: 136.8250, delay: 0.7451, throughput: 798
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 220.3071, mean rewards: 127.4636, queue: 127.6444, delay: 0.7465, throughput: 902
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 244.9648, mean rewards: 138.9967, queue: 139.2000, delay: 0.7440, throughput: 596
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 200.2716, mean rewards: 137.5914, queue: 137.7805, delay: 0.7453, throughput: 788
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 197.3620, mean rewards: 112.0878, queue: 112.0167, delay: 0.6911, throughput: 1163
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 238.9495, mean rewards: 118.5811, queue: 118.4139, delay: 0.7332, throughput: 1227
task: tsc | agent: maxpressure | Final Travel Time is 197.4956, mean rewards: -129.9337, queue: 75.6000, delay: 6.5140, throughput: 1939
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 97.5487, mean rewards: 22.8014, queue: 22.6667, delay: 0.6447, throughput: 2187
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 99.8989, mean rewards: 24.7067, queue: 24.6028, delay: 0.6312, throughput: 2176
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 102.1789, mean rewards: 26.0331, queue: 25.9417, delay: 0.6160, throughput: 2186
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 114.9128, mean rewards: 34.4914, queue: 34.3583, delay: 0.6643, throughput: 2178
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 121.5679, mean rewards: 39.8486, queue: 39.7278, delay: 0.6579, throughput: 2171
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 130.1085, mean rewards: 42.8814, queue: 42.7750, delay: 0.6715, throughput: 2165
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 322.3925, mean rewards: 144.6667, queue: 144.8611, delay: 0.7376, throughput: 428
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 326.9905, mean rewards: 145.0989, queue: 145.2944, delay: 0.7386, throughput: 422
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 324.8118, mean rewards: 144.8803, queue: 145.0722, delay: 0.7386, throughput: 425
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 244.9648, mean rewards: 138.9967, queue: 139.2000, delay: 0.7440, throughput: 596
task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 439.2211, mean rewards: 127.9356, queue: 128.0833, delay: 0.7219, throughput: 570
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 194.8912, mean rewards: 74.3850, queue: 73.9500, delay: 0.7609, throughput: 2004
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 186.0869, mean rewards: 72.2972, queue: 71.9556, delay: 0.7578, throughput: 2049
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 196.9576, mean rewards: 76.9589, queue: 76.5194, delay: 0.7638, throughput: 2028
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 215.3953, mean rewards: 85.1686, queue: 84.6722, delay: 0.7970, throughput: 1978
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 194.8912, mean rewards: 74.3850, queue: 73.9500, delay: 0.7609, throughput: 2004
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 186.0869, mean rewards: 72.2972, queue: 71.9556, delay: 0.7578, throughput: 2049
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 196.9576, mean rewards: 76.9589, queue: 76.5194, delay: 0.7638, throughput: 2028
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 215.3953, mean rewards: 85.1686, queue: 84.6722, delay: 0.7970, throughput: 1978
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 166.7098, mean rewards: 63.7981, queue: 63.3889, delay: 0.7296, throughput: 2050
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 200.6932, mean rewards: 77.8042, queue: 77.3083, delay: 0.7773, throughput: 2011
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 212.6209, mean rewards: 80.8922, queue: 80.3917, delay: 0.7973, throughput: 1973
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 203.4848, mean rewards: 80.0878, queue: 79.5944, delay: 0.8039, throughput: 2009
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 166.7098, mean rewards: 63.7981, queue: 63.3889, delay: 0.7296, throughput: 2050
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 200.6932, mean rewards: 77.8042, queue: 77.3083, delay: 0.7773, throughput: 2011
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 212.6209, mean rewards: 80.8922, queue: 80.3917, delay: 0.7973, throughput: 1973
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 203.4848, mean rewards: 80.0878, queue: 79.5944, delay: 0.8039, throughput: 2009
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: 70.8775, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.0551, mean rewards: 80.5920, queue: 80.0889, delay: 0.7978, throughput: 1996
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 415.0785, mean rewards: 1453.8672, queue: 5.5774, delay: 0.2029, throughput: 2661
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 415.0785, mean rewards: 1453.8672, queue: 5.5774, delay: 0.2029, throughput: 2661
task: tsc | agent: maxpressure | Final Travel Time is 197.4956, mean rewards: -129.9337, queue: 75.6000, delay: 6.5140, throughput: 1939
task: tsc | agent: maxpressure | Final Travel Time is 197.4956, mean rewards: -129.9337, queue: 75.6000, delay: 6.5140, throughput: 1939
task: tsc | agent: maxpressure | Final Travel Time is 197.4956, mean rewards: -129.9337, queue: 75.6000, delay: 6.5140, throughput: 1939
task: tsc | agent: maxpressure | Final Travel Time is 197.4956, mean rewards: -129.9337, queue: 75.6000, delay: 6.5140, throughput: 1939
task: tsc | agent: maxpressure | Final Travel Time is 197.4956, mean rewards: -129.9337, queue: 75.6000, delay: 6.5140, throughput: 1939
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 429.4138, mean rewards: 1710.4351, queue: 6.5804, delay: 0.1709, throughput: 2644
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 429.4138, mean rewards: 1710.4351, queue: 6.5804, delay: 0.1709, throughput: 2644
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 196.6857, mean rewards: 78.2356, queue: 77.7611, delay: 0.7685, throughput: 2014
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 196.6857, mean rewards: 78.2356, queue: 77.7611, delay: 0.7685, throughput: 2014
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 429.4138, mean rewards: 1710.4351, queue: 6.5804, delay: 0.1709, throughput: 2644
task: tsc | agent: maxqueue | Final Travel Time is 184.2495, mean rewards: -8.8597, queue: 70.4583, delay: 0.7466, throughput: 2008
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 429.4138, mean rewards: 1710.4351, queue: 6.5804, delay: 0.1709, throughput: 2644
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 196.6857, mean rewards: 78.2356, queue: 77.7611, delay: 0.7685, throughput: 2014
