path,agent,task,seed
data/output_data/tsc_rl_adversarial/advance_mplight/cityflow1x1/sumo_1/logger/2026_07_05-15_04_43_DTL.log,efficient_mplight,tsc_rl_adversarial,-1
data/output_data/tsc_rl_adversarial/advance_mplight/cityflow1x1/sumo_1/logger/2026_07_09-19_59_45_DTL.log,efficient_mplight,tsc_rl_adversarial,-1
