agent,task,TT,TT_std,thru,n
colight,attack,409.4164741630539,457.03887262050347,1323.8181818181818,11
colight,clean,444.32975205607767,504.61129802044337,,15
efficient_mplight,attack,343.998211660708,140.43197853231948,1765.685714285714,7
efficient_mplight,clean,155.35117059868944,77.90485257062625,,12
mplight,attack,193.29229636860816,113.82566080865314,1979.1000000000001,18
mplight,clean,242.80620801886818,129.09358885495018,,16
