file,agent,task,seed,n_test_ep,final_tt_last,final_tt_lastN,final_thru,final_queue
2026_07_07-14_50_18_DTL.log,efficient_mplight,attack,-1,200,429.43210586881474,438.02635918636014,1749.6,152.2683349609375
2026_07_07-20_05_05_DTL.log,efficient_mplight,attack,-1,200,429.43210586881474,438.02635918636014,1749.6,152.2683349609375
2026_06_02-11_29_48_DTL.log,mplight,attack,-1,10,132.95308187672492,130.263324350424,2176.6,41.903888888888886
2026_06_02-12_18_03_DTL.log,mplight,attack,-1,10,132.95308187672492,130.263324350424,2176.6,41.903888888888886
2026_06_02-15_40_42_DTL.log,mplight,attack,-1,10,132.95308187672492,130.263324350424,2176.6,41.903888888888886
2026_06_13-15_09_30_DTL.log,mplight,attack,-1,1,114.62591911764706,114.62591911764706,2176.0,34.47222137451172
2026_06_13-15_10_23_DTL.log,mplight,attack,-1,10,132.95308187672492,130.263324350424,2176.6,41.90388946533203
2026_06_15-13_18_55_DTL.log,mplight,attack,-1,10,132.95308187672492,130.263324350424,2176.6,41.90388946533203
2026_06_15-13_27_38_DTL.log,mplight,attack,-1,100,189.56155778894473,174.27363416928767,953.8,126.80833435058594
2026_06_15-15_53_10_DTL.log,mplight,attack,-1,200,130.10854503464202,132.30314175945185,2150.6,44.45388946533203
2026_06_17-09_24_06_DTL.log,mplight,attack,-1,50,139.0789844851904,136.09149899657936,2142.0,46.5783332824707
2026_06_17-09_37_46_DTL.log,mplight,attack,-1,200,130.10854503464202,132.30314175945185,2150.6,44.45388946533203
2026_06_17-10_38_58_DTL.log,mplight,attack,-1,50,139.0789844851904,136.09149899657936,2142.0,46.5783332824707
2026_07_05-12_55_49_DTL.log,mplight,attack,-1,50,130.04403279684178,121.69771060759194,3301.0,145.36055603027344
2026_07_07-12_52_25_DTL.log,mplight,attack,-1,17,301.4318181818182,372.08054087709843,585.0,156.46889038085936
2026_07_07-13_08_33_DTL.log,mplight,attack,-1,6,293.16764132553607,322.374395280236,523.4,155.76222534179686
2026_07_07-13_12_34_DTL.log,mplight,attack,-1,1,422.51916932907346,422.51916932907346,626.0,157.5749969482422
2026_07_07-14_33_33_DTL.log,mplight,attack,-1,200,147.29491307147455,163.56157919786716,2891.4,139.80333099365234
2026_07_07-22_55_57_DTL.log,mplight,attack,-1,200,142.79114583333333,142.05516209747606,1919.0,141.76388854980468
2026_06_02-15_00_09_DTL.log,mplight,attack,-1,10,444.48405698778834,457.967320694487,3180.0,34.99739583333333
