scenario,agent,n_inject,travel_time_mean,travel_time_std,queue_mean,queue_std,throughput_mean,throughput_std
1x1_normal,maxqueue,0,184.24950199203187,0.0,70.45833587646484,0.0,2008.0,0.0
1x1_normal,maxqueue,4,200.69318746892094,0.0,77.30833435058594,0.0,2011.0,0.0
1x1_normal,maxqueue,8,203.48481831757093,0.0,79.59444427490234,0.0,2009.0,0.0
1x1_normal,maxqueue,12,180.61238420282788,0.0,72.94166564941406,0.0,2051.0,0.0
1x1_normal,maxqueue,16,202.97830474268414,0.0,79.65833282470703,0.0,1982.0,0.0
1x1_normal,maxqueue,20,193.6228201295466,0.0,77.61111450195312,0.0,2007.0,0.0
